dealer,county,make,model,vehicle_year,mileage,last_updated,price,transmission,engine,body,fuel,doors,mpg,owners,color,tax,nct_month,nct_year,download_date,page_id
Tony kehoe car sales ltd,Wexford,Renault,Megane,2012.0,164999.0, 3 days ago,6950.0,Manual,1.5,Coupe,Diesel,2.0,49.0,2.0,Grey,NaN,August,2022.0,2022-08-30,3084702
Donal ryan motor group nenagh,Tipperary,Mitsubishi,L200,2019.0,64549.0, 21 hours ago,32450.0,Manual,2.4,Van,Diesel,4.0,NaN,1.0,Black,NaN,None,NaN,2022-08-30,3084705
Aig autos,Meath,Skoda,Fabia,2017.0,65638.0, 1 month ago,11250.0,Manual,1.0,Hatchback,Petrol,5.0,NaN,1.0,Blue,180.0,May,2024.0,2022-08-30,3084706
Young&#039;s garage (roscrea) ltd.,Tipperary,Opel,Mokka,2022.0,0.0, 4 months ago,31350.0,Manual,1.5,Suv,Diesel,5.0,NaN,NaN,Red,NaN,None,NaN,2022-08-30,3084710
Mr500.ie,Dublin,Fiat,500,2011.0,131505.0, 3 months ago,6950.0,Manual,0.0,Hatchback,Petrol,3.0,57.0,1.0,Grey,180.0,April,2023.0,2022-08-30,3084718
D and l o&#039;connell bros car sales,Limerick,Audi,A4,2017.0,185074.0, 5 hours ago,22900.0,Manual,2.0,Saloon,Diesel,4.0,62.0,1.0,Black,180.0,March,2023.0,2022-08-30,3084720
Evra motors,Dublin,Peugeot,Expert,2019.0,109431.0, 9 days ago,16219.0,Manual,1.6,Van,Diesel,5.0,45.0,1.0,White,333.0,None,NaN,2022-08-30,3084726
Roskeen cars &amp; commercials,Cork,Ford,Mondeo,2016.0,227142.0, 4 months ago,14950.0,Manual,2.0,Hatchback,Diesel,NaN,57.0,1.0,Grey,190.0,None,NaN,2022-08-30,3084727
Tp autos,Dublin,Audi,A3,2015.0,83500.0, 4 months ago,18995.0,Automatic,1.4,Hatchback,Petrol,5.0,48.0,21.0,Grey,200.0,April,2024.0,2022-08-30,3084730
Alan galibert car sales,Waterford,Ford,C-Max,2016.0,163000.0, 5 days ago,11995.0,Manual,1.5,Mpv,Diesel,5.0,57.0,1.0,Brown,190.0,May,2024.0,2022-08-30,3084732
Tp autos,Dublin,Audi,A3,2014.0,71000.0, 3 months ago,16995.0,Automatic,1.4,Hatchback,Petrol,5.0,47.0,1.0,Grey,200.0,April,2024.0,2022-08-30,3084735
Montpellier motors,Dublin,Toyota,Avensis,2016.0,160934.0, 2 hours ago,15950.0,Manual,1.6,Saloon,Diesel,4.0,56.0,2.0,White,190.0,September,2022.0,2022-08-30,3084746
Private,Waterford,Volvo,S40,2011.0,141621.0, 26 days ago,5500.0,Manual,1.6,Saloon,Diesel,4.0,55.0,3.0,Grey,NaN,September,2022.0,2022-08-30,3084749
Arthur auto sales ltd,Limerick,Bmw,5 Series,2011.0,215265.0, 1 month ago,11999.0,Automatic,3.0,Saloon,Diesel,4.0,38.0,3.0,Blue,600.0,September,2022.0,2022-08-30,3084765
Peterson cars,Dublin,Volkswagen,Golf,2015.0,140205.0, 7 days ago,14950.0,Automatic,1.6,Hatchback,Diesel,5.0,60.0,3.0,Silver,190.0,August,2023.0,2022-08-30,3084766
Carmaxx,Cork,Mazda,CX-5,2018.0,80227.0, 1 day ago,29995.0,Manual,2.2,Suv,Diesel,4.0,47.0,1.0,Grey,NaN,January,2022.0,2022-08-30,3085148
Bolands car centre - dublin,Dublin,Audi,A3,2013.0,143231.0, 4 hours ago,10900.0,Automatic,1.4,Hatchback,Petrol,5.0,55.0,1.0,Silver,270.0,May,2024.0,2022-08-30,3084768
Mindaro cars ltd,Dublin,Volkswagen,Jetta,2014.0,156125.0, in 23 minutes,10995.0,Manual,1.6,Saloon,Diesel,4.0,52.0,2.0,Brown,200.0,October,2022.0,2022-08-30,3084771
O&#039;sullivan and hansbury,Clare,Citroen,Grand C4 SpaceTourer,2022.0,0.0, 4 hours ago,NaN,Manual,1.6,Hatchback,Diesel,4.0,NaN,NaN,None,NaN,None,NaN,2022-08-30,3084772
Kevin barry motors ltd,Dublin,Land,ROVER Range Rover Sport,2019.0,78857.0, 6 hours ago,84900.0,Automatic,2.0,Suv,Petrol plug-in hybrid,5.0,NaN,1.0,Black,170.0,June,2023.0,2022-08-30,3084773
John foley autosales,Waterford,Audi,A3,2013.0,93124.0, 3 months ago,13875.0,Automatic,1.4,Hatchback,Petrol,5.0,49.0,2.0,White,280.0,May,2024.0,2022-08-30,3084775
Coby motor company,Dublin,Audi,A3,2015.0,109000.0, 9 days ago,16950.0,Automatic,1.4,Hatchback,Petrol,5.0,NaN,NaN,Black,200.0,April,2024.0,2022-08-30,3084780
Kenny galway,Galway,Hyundai,Tucson,2015.0,113047.0, 8 hours ago,17995.0,Manual,1.7,Estate,Diesel,5.0,53.0,3.0,White,200.0,March,2022.0,2022-08-30,3084787
Private,Dublin,Volkswagen,Golf,2015.0,124000.0, 25 days ago,23900.0,Automatic,2.0,Hatchback,Petrol,5.0,37.0,1.0,Grey,400.0,August,2022.0,2022-08-30,3084794
Evra motors,Dublin,Honda,CR-V,2016.0,147312.0, 7 days ago,21950.0,Automatic,1.6,Suv,Diesel,5.0,46.0,1.0,Grey,280.0,August,2022.0,2022-08-30,3084796
Tp autos,Dublin,Toyota,Prius,2014.0,190000.0, 13 days ago,11995.0,Automatic,1.8,Hatchback,Petrol hybrid,5.0,59.0,1.0,Black,NaN,April,2024.0,2022-08-30,3084800
Kia renmore,Galway,Audi,A1,2015.0,108630.0, 7 hours ago,15895.0,Automatic,1.4,Hatchback,Petrol,3.0,NaN,2.0,None,NaN,None,NaN,2022-08-30,3084804
Lpd car sales &amp; commercial vehicles,Dublin,Audi,A3,2013.0,265541.0, 1 day ago,12450.0,Manual,1.6,Hatchback,Diesel,5.0,62.0,1.0,Silver,180.0,March,2024.0,2022-08-30,3084805
Navan ford centre,Meath,Ford,Fiesta,2020.0,41250.0, 1 day ago,21950.0,Manual,1.1,Hatchback,Petrol,4.0,46.0,1.0,Blue,200.0,July,2024.0,2022-08-30,3084809
Kia renmore,Galway,Volkswagen,Touran,2013.0,85000.0, 40 minutes ago,15995.0,Automatic,1.4,Mpv,Petrol,5.0,NaN,1.0,White,NaN,March,2024.0,2022-08-30,3084810
Paul mcgovern car sales,Dublin,Volkswagen,Scirocco,2014.0,94000.0, 4 hours ago,16995.0,Manual,2.0,Coupe,Diesel,2.0,52.0,4.0,White,200.0,January,2023.0,2022-08-30,3084812
Vci ltd,Donegal,Volkswagen,Tiguan,2017.0,188292.0, 17 hours ago,21850.0,Manual,2.0,Estate,Diesel,5.0,47.0,1.0,Grey,270.0,None,NaN,2022-08-30,3084823
Low cost car and van sales,Dublin,Hyundai,i20,2014.0,69745.0, 2 hours ago,NaN,Manual,1.2,Hatchback,Petrol,5.0,48.0,1.0,Red,200.0,May,2024.0,2022-08-30,3084825
Tom raftery car sales,Galway,Citroen,Grand C4 Picasso,2018.0,91732.0, 19 days ago,26500.0,Manual,1.6,Mpv,Diesel,5.0,59.0,2.0,Red,NaN,None,NaN,2022-08-30,3084827
Automatic motor car centre,Dublin,Bmw,1 Series,2013.0,79000.0, 21 days ago,14850.0,Automatic,1.6,Hatchback,Petrol,5.0,55.0,NaN,White,NaN,April,2024.0,2022-08-30,3084842
Abbey tyres &amp; car sales,Limerick,Audi,A3 Saloon,2017.0,116000.0, 6 hours ago,21950.0,Manual,1.6,Saloon,Diesel,4.0,62.0,1.0,Red,190.0,March,2023.0,2022-08-30,3084844
Toyota liffey valley,Dublin,Nissan,Qashqai,2018.0,77543.0, 1 hour ago,24950.0,Manual,1.5,Mpv,Diesel,5.0,62.0,1.0,Grey,180.0,May,2022.0,2022-08-30,3084860
Abbey tyres &amp; car sales,Limerick,Toyota,Yaris,2017.0,35000.0, 10 hours ago,15500.0,Manual,1.0,Hatchback,Petrol,5.0,55.0,1.0,Red,180.0,January,2023.0,2022-08-30,3084863
Automatic motor car centre,Dublin,Audi,A4,2013.0,76000.0, 12 days ago,15950.0,Automatic,2.0,Estate,Petrol,5.0,49.0,NaN,Black,NaN,April,2024.0,2022-08-30,3084864
Abbey tyres &amp; car sales,Limerick,Audi,A5 Sportback,2015.0,148000.0, 2 hours ago,20500.0,Manual,2.0,Hatchback,Diesel,5.0,53.0,3.0,Black,200.0,September,2023.0,2022-08-30,3084865
Abbey tyres &amp; car sales,Limerick,Ford,Focus,2016.0,117600.0, 1 hour ago,15500.0,Manual,1.5,Hatchback,Diesel,5.0,62.0,2.0,Silver,180.0,May,2024.0,2022-08-30,3084867
Cadogan motor works,Cork,Volkswagen,Tiguan,2014.0,141621.0, 3 months ago,15950.0,Manual,2.0,Mpv,Diesel,5.0,44.0,2.0,Blue,280.0,May,2024.0,2022-08-30,3084868
Abbey tyres &amp; car sales,Limerick,Mazda,Mazda3,2017.0,147700.0, 2 hours ago,16500.0,Manual,1.5,Hatchback,Diesel,5.0,62.0,2.0,Brown,180.0,March,2023.0,2022-08-30,3084871
Automatic motor car centre,Dublin,Audi,A3 Sportback,2014.0,50000.0, 15 days ago,16950.0,Automatic,1.4,Mpv,Petrol,5.0,50.0,NaN,Silver,NaN,April,2024.0,2022-08-30,3084872
Automatic motor car centre,Dublin,Volkswagen,Polo,2013.0,66000.0, 18 days ago,11850.0,Automatic,1.2,Hatchback,Petrol,5.0,39.0,NaN,Red,NaN,April,2024.0,2022-08-30,3084873
Abbey tyres &amp; car sales,Limerick,Ford,Focus,2013.0,108300.0, 2 hours ago,10500.0,Manual,1.6,Saloon,Diesel,4.0,56.0,2.0,Silver,190.0,May,2023.0,2022-08-30,3084874
Tallaght auto specialists,Dublin,Peugeot,Boxer,2019.0,99779.0, 16 days ago,22950.0,Manual,2.0,Van,Diesel,3.0,38.0,1.0,White,333.0,None,NaN,2022-08-30,3084883
E &amp; d motors,Dublin,Honda,Insight,2011.0,96000.0, 3 months ago,8750.0,Automatic,1.3,Hatchback,Petrol hybrid,5.0,53.0,2.0,Black,170.0,January,2023.0,2022-08-30,3084893
Willowwood cars,Meath,Ford,Kuga,2017.0,217260.0, 4 months ago,16999.0,Manual,1.5,Pickup,Diesel,4.0,45.0,1.0,White,333.0,April,2023.0,2022-08-30,3084895
Blanchardstown 4x4,Dublin,Bmw,M3,2006.0,251057.0, 5 hours ago,29900.0,Manual,3.2,Coupe,Petrol,2.0,23.0,2.0,Silver,NaN,None,NaN,2022-08-30,3084904
Grange car sales ltd,Dublin,Bmw,6 Series,2007.0,111044.0, 2 hours ago,12999.0,Automatic,3.0,Coupe,Petrol,2.0,26.0,3.0,Blue,NaN,May,2023.0,2022-08-30,3084909
S &amp; r motors,Donegal,Mercedes-benz,C Class,2020.0,30559.0, 12 days ago,44995.0,Automatic,1.6,Saloon,Diesel,4.0,51.0,1.0,Blue,190.0,January,2024.0,2022-08-30,3084917
Windsor deansgrange nissan &amp; opel,Dublin,Nissan,X-Trail,2016.0,102999.0, 1 month ago,24495.0,Automatic,2.0,Suv,Hybrid,5.0,48.0,1.0,Green,200.0,None,NaN,2022-08-30,3084920
Mooney&#039;s,Dublin,Hyundai,i30,2019.0,45647.0, 3 months ago,22995.0,Manual,1.0,Hatchback,Petrol,5.0,41.0,2.0,Grey,200.0,February,2023.0,2022-08-30,3084929
Bill sheehan &amp; sons,Dublin,Ford,Kuga,2019.0,34499.0, 13 hours ago,29450.0,Manual,1.5,Suv,Diesel,4.0,45.0,1.0,Blue,200.0,March,2023.0,2022-08-30,3084975
Usedirect ireland,Dublin,Mitsubishi,Outlander,2016.0,165309.0, 3 days ago,22499.0,Automatic,2.0,Suv,Petrol hybrid,5.0,NaN,3.0,Black,NaN,August,2022.0,2022-08-30,3084980
Enniscorthy motor company,Wexford,Seat,Leon,2019.0,57889.0, 6 days ago,21975.0,Manual,1.5,Hatchback,Petrol,5.0,45.0,1.0,Grey,NaN,January,2023.0,2022-08-30,3084991
Bradys (dublin) limited,Dublin,Seat,Arona,2022.0,24.0, 3 months ago,29250.0,Manual,1.0,Suv,Petrol,5.0,NaN,NaN,Black,NaN,None,NaN,2022-08-30,3084993
George corbett motors,Waterford,Cupra,Formentor,2021.0,9977.0, 3 months ago,38995.0,Manual,2.0,Estate,Diesel,5.0,NaN,1.0,Silver,NaN,July,2025.0,2022-08-30,3085002
James tomkins garage ltd,Wexford,Toyota,Corolla,2020.0,39127.0, 4 days ago,24950.0,Automatic,1.8,Hatchback,Petrol hybrid,4.0,71.0,1.0,Blue,170.0,August,2024.0,2022-08-30,3085008
Kearys bmw cork,Cork,Bmw,5 Series,2019.0,88177.0, 2 hours ago,47900.0,Automatic,2.0,Saloon,Diesel,4.0,52.0,NaN,Blue,200.0,March,2023.0,2022-08-30,3085009
Kearys carstore cork,Cork,Bmw,5 Series,2018.0,80077.0, 4 months ago,37890.0,Automatic,2.0,Saloon,Petrol hybrid,4.0,NaN,1.0,Blue,170.0,November,2023.0,2022-08-30,3085012
Automatic motor car centre,Dublin,Mercedes-benz,CLA Class,2014.0,66000.0, 17 days ago,22950.0,Automatic,1.6,Saloon,Petrol,5.0,46.0,NaN,White,270.0,April,2024.0,2022-08-30,3085016
Kearys renault &amp; dacia cork,Cork,Renault,Kadjar,2019.0,107972.0, 3 months ago,25400.0,Manual,1.5,Suv,Diesel,4.0,62.0,1.0,Red,180.0,January,2023.0,2022-08-30,3085019
O&#039;connell automotive,Dublin,Jaguar,XF,2018.0,155198.0, 3 months ago,27999.0,Automatic,2.0,Saloon,Diesel,4.0,NaN,NaN,Black,NaN,None,NaN,2022-08-30,3085031
Linders of chapelizod,Dublin,Peugeot,3008,2019.0,93370.0, 24 days ago,30495.0,Manual,1.5,Suv,Diesel,5.0,74.0,1.0,Black,190.0,None,NaN,2022-08-30,3085035
Linders finglas,Dublin,Volvo,S90,2017.0,70675.0, 3 months ago,32950.0,Automatic,2.0,Saloon,Diesel,4.0,53.0,2.0,Black,NaN,None,NaN,2022-08-30,3085036
Linders finglas,Dublin,Audi,A4,2019.0,63316.0, 1 month ago,35950.0,Automatic,2.0,Estate,Diesel,5.0,71.0,1.0,Black,190.0,None,NaN,2022-08-30,3085037
Kearys carstore dublin,Dublin,Toyota,Aqua,2016.0,126218.0, 3 months ago,11490.0,Automatic,1.5,Hatchback,Petrol hybrid,5.0,NaN,1.0,White,NaN,None,NaN,2022-08-30,3085038
Kearys carstore dublin,Dublin,Honda,HR-V,2016.0,97571.0, 1 month ago,21890.0,Automatic,1.5,Suv,Petrol hybrid,5.0,NaN,1.0,Red,NaN,None,NaN,2022-08-30,3085039
Hinchy&#039;s ennis road,Limerick,Kia,Sportage,2019.0,64716.0, 1 month ago,27900.0,Manual,1.6,Suv,Diesel,5.0,49.0,2.0,Grey,270.0,January,2023.0,2022-08-30,3085063
James barry motors,Limerick,Seat,Arona,2018.0,60789.0, 10 days ago,20950.0,Manual,1.0,Suv,Petrol,5.0,47.0,2.0,Red,NaN,July,2022.0,2022-08-30,3085066
